ZTIME,LON,LAT,WSR_ID,CELL_ID,CELL_TYPE,RANGE,AZIMUTH,AVGDV,LLDV,MXDV,MXDV_HEIGHT,DEPTH,BASE,TOP,MAX_SHEAR,MAX_SHEAR_HEIGHT
20140701023651,-89.63716,40.77642,KILX,I3,TVS,40,340,32,24,79,7,9,3,12,30,7
20140701023651,-89.33700,40.80036,KILX,I3,TVS,39,360,56,57,116,9,8,3,11,46,9
20140701023652,-94.32765,39.20709,KMCI,P7,TVS,26,132,39,34,71,5,10,1,11,43,5
20140701023959,-94.65162,39.05317,KMCI,E8,TVS,27,171,39,66,96,16,22,1,23,60,16
20140701023959,-94.29592,39.18465,KMCI,P7,TVS,28,132,39,73,85,25,24,1,25,48,25
20140701023959,-94.29652,39.23617,KMCI,P7,TVS,26,127,46,33,87,5,9,1,11,54,5
20140701024015,-88.57798,41.45288,KMDW,F8,TVS,40,253,31,50,71,12,21,2,23,28,12
20140701024132,-89.89888,40.80597,KILX,Z3,TVS,47,327,33,55,55,6,9,6,15,19,6
20140701024132,-89.10316,40.86171,KILX,T6,TVS,44,14,46,55,86,9,12,4,16,32,9
20140701024132,-89.05836,40.88704,KILX,T6,TVS,46,16,58,79,96,8,12,4,16,33,8
20140701024132,-89.04610,40.91907,KILX,T6,TVS,48,16,56,104,104,4,7,4,11,35,4
20140701024132,-89.48393,40.94256,KILX,K2,TVS,48,352,45,42,97,9,8,6,14,31,9
20140701024132,-88.99029,40.95833,KILX,T6,TVS,51,18,42,67,67,5,8,5,12,21,5
20140701024151,-94.44066,39.16803,KEAX,C6,ETVS,23,339,19,49,49,13,14,13,27,33,13
20140701024614,-88.95311,40.80444,KILX,T6,TVS,43,24,66,150,150,3,6,3,10,56,3
20140701024614,-88.87470,40.86852,KILX,T6,TVS,48,26,54,58,99,9,5,4,9,30,9
20140701024614,-88.98374,40.88597,KILX,T6,TVS,47,20,52,120,120,4,10,4,14,40,4
20140701024614,-88.95332,40.94855,KILX,T6,TVS,51,20,33,52,52,4,7,4,12,16,4
20140701024717,-94.65169,39.07199,KEAX,X5,ETVS,24,311,17,52,52,17,10,17,27,34,17
20140701025055,-89.15674,40.70000,KILX,D5,TVS,34,14,52,73,78,7,7,3,9,37,7
20140701025055,-89.03044,40.75676,KILX,D5,TVS,39,21,56,86,89,9,9,3,12,36,9
20140701025055,-88.93352,40.87077,KILX,T6,TVS,47,23,50,66,77,8,9,4,13,27,8
20140701025055,-88.89895,40.89566,KILX,T6,TVS,49,24,27,65,65,4,24,4,29,21,4
20140701025055,-88.80783,40.93630,KILX,T6,TVS,53,27,37,87,87,5,20,5,24,26,5
20140701025243,-94.04704,39.22736,KEAX,F4,ETVS,27,22,20,49,52,19,9,15,24,30,19
20140701025243,-93.37795,39.30668,KEAX,B7,ETVS,51,54,26,53,53,9,11,9,19,17,9
20140701025449,-94.47267,39.55745,KMCI,??,TVS,13,74,59,76,85,6,5,1,6,97,6
20140701025536,-88.99427,40.70870,KILX,Y8,TVS,37,25,58,64,92,8,5,3,8,39,8
20140701025536,-88.92522,40.73823,KILX,Y8,TVS,40,28,45,82,89,5,9,3,12,36,5
20140701025536,-88.92872,40.75848,KILX,Y8,TVS,41,27,36,52,52,3,6,3,10,20,3
20140701025536,-88.86888,40.79081,KILX,Y8,TVS,44,29,40,49,67,10,9,4,13,23,10
20140701025536,-88.83158,40.87038,KILX,Y8,TVS,49,28,35,87,87,4,19,4,23,29,4
20140701025813,-88.24408,41.38880,KMDW,C2,TVS,28,236,23,44,74,23,30,1,31,44,23
20140701030018,-90.39507,40.50468,KILX,S4,TVS,53,294,29,86,86,7,23,7,29,26,7
20140701030018,-88.94394,40.68899,KILX,D5,TVS,37,29,49,81,82,6,7,3,10,36,6
20140701030018,-88.83541,40.73632,KILX,T6,TVS,42,33,33,55,55,3,9,3,12,21,3
20140701030018,-88.80199,40.79931,KILX,T6,TVS,46,32,41,46,85,10,17,4,21,29,10
20140701030018,-88.75498,40.85565,KILX,T6,TVS,50,32,35,49,51,7,7,4,11,16,7
20140701030118,-93.64593,42.54588,KDMX,A4,TVS,49,4,50,58,70,6,7,4,11,23,6
20140701030355,-94.47463,39.00638,KMCI,M6,TVS,32,157,30,60,64,19,24,4,28,34,19
20140701030459,-90.04736,40.61828,KILX,L2,TVS,43,311,50,67,86,7,7,5,12,32,7
